                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5257,                 3.5914,                 1.3505,                0.00242,                0.52075,                0.03907,                0.02285,                0.86887,                 4.0781,                 1.1294,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                 1.0663,                 3.4345,                 1.1976,                0.00269,                0.51357,                0.15242,                0.13285,                 0.8616,                 3.9387,                 1.0573,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                  0.985,                 3.0995,                 1.1323,                0.00274,                0.51357,                 0.1279,                0.10988,                0.94926,                 3.9028,                 1.0592,             0.00015408,             0.00015408,             0.00015408
                      4,                0.86218,                 2.6268,                 1.0657,                0.00275,                0.51357,                0.21586,                0.17146,                0.90116,                 3.7679,                 1.0777,             0.00020798,             0.00020798,             0.00020798
                      5,                0.83986,                 2.3127,                 1.0656,                0.00305,                0.53656,                0.19999,                0.15774,                0.88856,                 3.6991,                 1.0829,             0.00026076,             0.00026076,             0.00026076
                      6,                 0.7294,                 2.1233,                 1.0168,                0.00364,                0.58254,                 0.2155,                0.17981,                0.89104,                 3.6714,                 1.0957,              0.0003124,              0.0003124,              0.0003124
                      7,                0.79672,                 2.1197,                 1.0238,                0.00374,                0.61271,                0.18643,                0.13219,                0.95158,                 3.6721,                 1.0851,             0.00036291,             0.00036291,             0.00036291
                      8,                0.80569,                 2.0778,                 1.0484,                0.00383,                0.59403,                  0.199,                0.15018,                0.98484,                  3.639,                 1.0715,             0.00041229,             0.00041229,             0.00041229
                      9,                0.74574,                 1.9052,                0.98153,                 0.9967,                  0.125,                0.25596,                 0.2118,                  0.919,                 3.5749,                 1.0527,             0.00046054,             0.00046054,             0.00046054
                     10,                0.79471,                 1.7532,                0.99935,                 0.5894,                0.14016,                0.28298,                0.19838,                  1.085,                 3.5221,                 1.1075,             0.00050765,             0.00050765,             0.00050765
                     11,                0.70217,                 1.7455,                0.93424,                0.59416,                0.12663,                0.26145,                0.19929,                 1.1423,                 3.5902,                 1.1264,             0.00055364,             0.00055364,             0.00055364
                     12,                0.78747,                  1.722,                 1.0132,                 0.5108,                0.09256,                0.31201,                0.19965,                 1.1849,                 3.5835,                 1.1775,             0.00059849,             0.00059849,             0.00059849
                     13,                0.87886,                 1.8312,                0.99318,                0.81604,                0.08333,                0.28643,                 0.2085,                 1.2084,                 3.6526,                 1.1345,             0.00064221,             0.00064221,             0.00064221
                     14,                0.86227,                 1.6801,                 1.0176,                0.79935,                  0.125,                0.29647,                0.20744,                  1.185,                 3.6642,                 1.1098,              0.0006848,              0.0006848,              0.0006848
                     15,                0.85732,                 1.5685,                0.99094,                0.61614,                0.19907,                0.27426,                0.19496,                 1.2429,                 3.5089,                 1.1462,             0.00072625,             0.00072625,             0.00072625
                     16,                0.78315,                 1.4765,                0.96045,                0.65287,                0.27315,                0.35011,                0.24115,                 1.0956,                 3.3434,                 1.0587,             0.00076658,             0.00076658,             0.00076658
                     17,                0.76522,                 1.4433,                0.94982,                0.90793,                0.26082,                0.43336,                0.30347,                  1.077,                 3.1909,                 1.0669,             0.00080577,             0.00080577,             0.00080577
                     18,                0.76416,                 1.3732,                 0.9776,                0.65659,                0.26304,                 0.3847,                0.28912,                 1.1928,                 3.2083,                 1.1248,             0.00084383,             0.00084383,             0.00084383
                     19,                 0.7514,                 1.3612,                0.97532,                0.58712,                0.19907,                0.30204,                0.23265,                 1.2523,                 3.2867,                  1.101,             0.00088076,             0.00088076,             0.00088076
                     20,                0.77163,                 1.3329,                0.98311,                0.18376,                0.20505,                0.16276,                0.11498,                 1.4141,                  3.716,                 1.2481,             0.00091656,             0.00091656,             0.00091656
                     21,                0.75012,                 1.4653,                0.96237,                0.40706,                0.18039,                 0.2334,                0.17807,                 1.2439,                 3.4213,                 1.1934,             0.00095123,             0.00095123,             0.00095123
                     22,                0.77688,                 1.4583,                0.96849,                0.40616,                0.31617,                0.35712,                 0.2727,                 1.0886,                 3.1823,                 1.1728,             0.00098476,             0.00098476,             0.00098476
                     23,                0.80973,                  1.305,                0.97368,                0.44618,                0.46976,                0.30958,                0.22256,                 1.0261,                  3.323,                 1.1868,              0.0010172,              0.0010172,              0.0010172
                     24,                0.75492,                 1.3266,                  1.003,                0.39028,                0.36734,                0.27062,                0.19266,                 1.1717,                 3.1492,                 1.2396,              0.0010484,              0.0010484,              0.0010484
                     25,                 0.8134,                 1.4573,                  1.018,                0.38234,                 0.4205,                0.34416,                0.21188,                 1.1647,                 3.0765,                 1.2878,              0.0010786,              0.0010786,              0.0010786
                     26,                0.75755,                 1.3817,                0.99196,                0.48924,                0.46768,                0.36893,                 0.2342,                 1.1329,                 3.0082,                  1.241,              0.0010753,              0.0010753,              0.0010753
                     27,                0.67143,                 1.2404,                0.95784,                0.42959,                0.45026,                0.38474,                0.25843,                 1.1572,                 2.9561,                 1.2077,              0.0010753,              0.0010753,              0.0010753
                     28,                0.67544,                 1.1314,                0.93469,                0.29409,                0.36973,                0.28288,                0.21596,                 1.1866,                   3.02,                 1.2348,              0.0010612,              0.0010612,              0.0010612
                     29,                0.72589,                 1.1521,                 0.9529,                0.24404,                0.29352,                0.22062,                0.16111,                 1.2233,                 3.2206,                 1.2665,               0.001047,               0.001047,               0.001047
                     30,                0.70431,                 1.1777,                0.97531,                0.22166,                0.28847,                0.25959,                0.18994,                 1.2561,                 3.1793,                 1.3133,              0.0010329,              0.0010329,              0.0010329
                     31,                0.66377,                 1.0822,                0.92412,                0.36715,                0.27698,                 0.2931,                0.21542,                 1.2509,                 3.0827,                 1.3357,              0.0010187,              0.0010187,              0.0010187
                     32,                0.70067,                 1.1573,                0.99201,                0.44499,                0.36255,                0.33134,                0.23577,                 1.2395,                 3.0189,                  1.342,              0.0010046,              0.0010046,              0.0010046
                     33,                0.68567,                 1.0181,                0.95344,                0.47957,                0.45961,                0.37058,                0.25134,                 1.2088,                 3.2111,                 1.3822,             0.00099044,             0.00099044,             0.00099044
                     34,                0.72922,                  1.105,                0.95625,                0.44621,                0.44812,                0.40144,                0.28758,                 1.2076,                 3.4715,                 1.3302,             0.00097629,             0.00097629,             0.00097629
                     35,                0.65681,                 1.0626,                0.93396,                0.63767,                0.40094,                 0.4115,                0.30583,                 1.2632,                 3.1589,                 1.3218,             0.00096215,             0.00096215,             0.00096215
                     36,                0.63873,                 1.1325,                0.92628,                0.45643,                0.40594,                 0.3807,                0.28457,                 1.1768,                 2.9138,                 1.2437,               0.000948,               0.000948,               0.000948
                     37,                0.66001,                 1.0603,                0.92737,                0.46217,                0.37359,                 0.3976,                0.31001,                 1.0473,                 2.8044,                 1.1402,             0.00093385,             0.00093385,             0.00093385
                     38,                0.62726,                0.95937,                0.92982,                0.54655,                0.39066,                0.38597,                0.30979,                 1.0163,                 2.7294,                 1.1143,              0.0009197,              0.0009197,              0.0009197
                     39,                0.60235,                0.96442,                0.90863,                0.58252,                0.40699,                0.47774,                0.35723,                0.97928,                 2.9274,                  1.092,             0.00090556,             0.00090556,             0.00090556
                     40,                0.63101,                  1.016,                0.91192,                0.46773,                0.51964,                0.47229,                0.35457,                0.90946,                 3.6539,                 1.0717,             0.00089141,             0.00089141,             0.00089141
                     41,                0.53872,                 0.8763,                0.88791,                0.52143,                0.50814,                0.48526,                 0.3748,                0.91471,                 4.2861,                 1.0724,             0.00087726,             0.00087726,             0.00087726
                     42,                0.55475,                0.86681,                0.89861,                0.43878,                0.60407,                0.48405,                0.35771,                0.90933,                 4.1714,                 1.0736,             0.00086312,             0.00086312,             0.00086312
